--------------------
BDMEP - INMET
--------------------
Estação           : NATAL - RN (OMM: 82598)
Latitude  (graus) : -5.91
Longitude (graus) : -35.2
Altitude  (metros): 48.60
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82598;19/12/1983;0000;;29.6;;8.8;5.1;27;87.75;6.166667;
82598;19/12/1983;1200;3.5;;24.4;;;;;;
82598;20/12/1983;0000;;30.4;;9.5;7.3;27.64;77.75;6.8;
82598;20/12/1983;1200;0.2;;25.4;;;;;;
82598;21/12/1983;0000;;30.4;;9.5;8.6;27.58;83;5.733333;
82598;21/12/1983;1200;0;;25.7;;;;;;
82598;22/12/1983;0000;;30.4;;10.1;8.1;;;;
82598;22/12/1983;1200;0;;26.2;;;;;;
82598;23/12/1983;0000;;30;;9;8.5;27.44;75.75;5;
82598;23/12/1983;1200;0;;25.6;;;;;;
82598;24/12/1983;0000;;30.1;;10.1;8.8;27.34;74.75;4.2;
82598;24/12/1983;1200;0;;25.7;;;;;;
82598;25/12/1983;0000;;29.8;;9.9;7.2;;;;
82598;25/12/1983;1200;0;;25.6;;;;;;
82598;26/12/1983;0000;;30.4;;10;8.5;;;;
82598;26/12/1983;1200;0;;25.8;;;;;;
82598;27/12/1983;0000;;30.4;;10.5;9.2;27.42;74.5;6.8;
82598;27/12/1983;1200;0;;25.6;;;;;;
82598;28/12/1983;0000;;29.6;;9.2;6.8;27.04;72;5.9;
82598;28/12/1983;1200;0;;25.2;;;;;;
82598;29/12/1983;0000;;29.6;;10.4;10.1;26.8;77;3.966667;
82598;29/12/1983;1200;0;;24.6;;;;;;
82598;30/12/1983;0000;;29.7;;9.9;10.1;27.04;74.75;4.866667;
82598;30/12/1983;1200;0;;25;;;;;;
82598;31/12/1983;0000;;30.8;;9.3;10;;;;
82598;31/12/1983;1200;0;;22.8;;;;;;
82598;01/01/1984;0000;;30.6;;10;10;27.48;78.25;5.466667;
82598;01/01/1984;1200;0.3;;25;;;;;;
82598;02/01/1984;0000;;29.9;;9.4;8.9;26.62;78;6.466667;
82598;02/01/1984;1200;5.2;;22.1;;;;;;
82598;03/01/1984;0000;;29.6;;9.2;9.8;27.32;80.75;5.133333;
82598;03/01/1984;1200;0;;25.4;;;;;;
82598;04/01/1984;0000;;30.2;;10.6;7.7;;;;
82598;04/01/1984;1200;0;;25.2;;;;;;
82598;05/01/1984;0000;;30.4;;10.6;8.2;27.84;79.25;5.4;
82598;05/01/1984;1200;0.1;;25.8;;;;;;
82598;06/01/1984;0000;;30.4;;10.2;8.6;27.6;81.25;4.9;
82598;06/01/1984;1200;0;;25.4;;;;;;
82598;07/01/1984;0000;;30;;9.4;7;27.52;82.25;4.466667;
82598;07/01/1984;1200;0;;25.8;;;;;;
82598;08/01/1984;0000;;30.1;;4.8;6.5;27.4;82;4.033333;
82598;08/01/1984;1200;0;;25.2;;;;;;
82598;09/01/1984;0000;;29.4;;3.8;6.3;26.8;82.5;4.233333;
82598;09/01/1984;1200;0;;24;;;;;;
82598;10/01/1984;0000;;29.8;;8.6;6;26.48;81;5.2;
82598;10/01/1984;1200;5.9;;22.2;;;;;;
82598;11/01/1984;0000;;29.8;;10.7;8.5;26.62;79.25;4.666667;
82598;11/01/1984;1200;0;;22.1;;;;;;
82598;12/01/1984;0000;;30.4;;11.2;7.3;26.8;72;5.133333;
82598;12/01/1984;1200;0;;22.2;;;;;;
82598;13/01/1984;0000;;29;;6.9;8.5;26.44;86.5;3.933333;
82598;13/01/1984;1200;2;;23.6;;;;;;
82598;14/01/1984;0000;;29.8;;10.3;6.1;26.38;87;4.633333;
82598;14/01/1984;1200;3.6;;24.2;;;;;;
82598;15/01/1984;0000;;30;;8.4;5.4;26.72;78.75;5.8;
82598;15/01/1984;1200;32.4;;22.4;;;;;;
82598;16/01/1984;0000;;30.2;;10.4;8;27.2;76.5;6.533333;
82598;16/01/1984;1200;0;;23.4;;;;;;
82598;17/01/1984;0000;;30;;9.7;10.5;26.84;81.5;3.633333;
82598;17/01/1984;1200;0;;21.8;;;;;;
82598;18/01/1984;0000;;30.4;;10.1;6.3;27.68;82.25;4.7;
82598;18/01/1984;1200;0;;25.8;;;;;;
82598;19/01/1984;0000;;30.2;;9.5;7.3;27.8;83.5;4.466667;
82598;19/01/1984;1200;0;;26;;;;;;
82598;20/01/1984;0000;;30.6;;10.3;7.4;27.6;82;4.066667;
82598;20/01/1984;1200;0;;25.6;;;;;;
82598;21/01/1984;0000;;30.4;;10;8.8;27.3;79.25;4.7;
82598;21/01/1984;1200;0;;24.7;;;;;;
82598;22/01/1984;0000;;30;;10.6;8.7;27.44;82.75;4.2;
82598;22/01/1984;1200;0;;24;;;;;;
82598;23/01/1984;0000;;30.6;;10.5;7.8;27.72;79.75;5.3;
82598;23/01/1984;1200;0;;24.2;;;;;;
82598;24/01/1984;0000;;30.6;;10.4;8;27.76;82;5.566667;
