,lab1,lab2,lab3,lab4,lab5,exe1,exe2,exe3,exe4,exe5
4200,2.0,10.0,8.0,8.0,10.0,4.0,8.333333333333332,8.0,4.53125,8.75
4201,2.0,10.0,8.0,8.0,10.0,4.0,8.333333333333332,8.0,1.25,8.75
4471,,,10.0,,10.0,,,4.666666666666666,0.625,3.125
4472,,,6.0,,,,,3.3333333333333335,,
4473,,,6.0,,6.0,,,1.3333333333333335,0.625,1.875
4202,10.0,10.0,8.0,10.0,10.0,3.3333333333333335,8.805555555555555,8.666666666666668,6.6625,4.375
4203,10.0,10.0,8.0,10.0,10.0,3.3333333333333335,8.805555555555555,8.666666666666668,7.5,4.375
4205,10.0,10.0,10.0,10.0,10.0,3.3333333333333335,9.444444444444445,10.0,2.5,5.625
4204,10.0,10.0,10.0,10.0,10.0,3.3333333333333335,9.444444444444445,10.0,9.375,5.625
4474,,,10.0,,10.0,,,4.0,0.625,3.125
4206,2.0,10.0,,6.0,8.0,0.6666666666666667,2.777777777777778,,1.875,2.5
4475,,,2.0,,,,,2.0,,
4476,,,6.0,,10.0,,,4.666666666666666,,3.125
4207,10.0,10.0,,8.0,10.0,3.3333333333333335,2.777777777777778,1.3333333333333335,2.5,7.5
4401,,2.0,2.0,,,,0.5555555555555555,2.0,,
4209,10.0,10.0,10.0,8.0,,3.3333333333333335,3.3333333333333335,8.0,1.25,
4208,10.0,10.0,10.0,8.0,,3.3333333333333335,3.3333333333333335,8.0,6.25,
4477,,,4.0,,4.0,0.6666666666666667,,1.3333333333333335,,1.25
4403,,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,10.0
4402,,10.0,10.0,10.0,10.0,,10.0,10.0,8.75,10.0
4210,8.0,10.0,9.6,,3.0,6.0,7.955555555555556,6.033333333333334,2.34375,1.875
4211,8.0,10.0,9.6,,3.0,6.0,7.955555555555556,6.033333333333334,5.1,1.875
4405,,10.0,6.0,10.0,10.0,0.6666666666666667,6.555555555555555,4.666666666666666,1.25,5.625
4404,,10.0,6.0,10.0,10.0,0.6666666666666667,6.555555555555555,4.666666666666666,8.75,5.625
4478,,,2.0,,10.0,,,1.5,,3.125
4407,,8.0,10.0,6.0,10.0,0.6666666666666667,8.333333333333332,7.333333333333333,7.5,7.5
4406,,8.0,10.0,6.0,10.0,0.6666666666666667,8.333333333333332,7.333333333333333,6.875,7.5
