"CIÊNCIA, TECNOLOGIA E SOCIEDADEnota",PRÁTICAS DE LEITURA E ESCRITA Inota,QUÍMICA GERALnota,CÁLCULO Inota,VETORES E GEOMETRIA ANALÍTICAnota,PRÉ-CÁLCULOnota,LÓGICA DE PROGRAMAÇÃOnota
7.00,6.00,7.20,5.00,5.70,5.30,2.90
5.90,7.00,6.40,6.90,6.30,7.30,7.30
7.10,6.50,5.00,5.00,1.80,5.30,6.80
8.70,7.30,7.20,7.20,5.00,6.50,-
5.80,6.70,5.50,1.40,3.80,2.50,1.70
6.40,5.10,2.10,0.90,0.20,0.40,0.00
2.80,5.80,1.50,4.10,0.60,5.90,5.20
7.70,6.50,-,1.20,1.70,1.20,6.90
6.10,6.50,4.20,5.30,6.50,5.40,10.00
6.10,6.30,7.70,5.80,5.30,8.30,1.50
8.50,5.80,5.00,6.10,5.70,6.90,3.30
8.00,6.70,5.00,5.30,7.10,6.90,5.40
8.10,6.00,7.80,9.20,8.70,7.60,9.00
4.40,5.00,2.00,2.40,3.30,5.40,0.30
8.30,7.20,5.00,5.00,6.40,7.70,6.90
8.00,7.10,4.70,6.20,6.70,9.10,8.50
7.50,6.40,8.20,8.60,9.80,9.20,7.70
7.10,7.80,2.50,5.20,4.30,5.00,6.10
5.50,7.40,5.00,1.50,5.80,8.10,6.80
5.70,5.80,8.10,6.00,6.10,8.40,4.60
5.60,6.20,5.10,0.00,6.30,7.80,6.70
9.70,7.20,7.20,7.60,6.20,7.40,7.60
5.70,6.40,5.00,0.30,5.50,7.20,6.40
8.00,7.30,6.10,9.10,8.00,9.00,9.10
5.60,5.20,6.60,5.20,2.30,5.50,7.20
5.00,6.80,5.80,0.30,5.40,7.00,1.80
10.00,7.50,7.80,7.20,6.60,7.70,7.30
6.40,6.60,6.30,6.60,7.20,6.80,8.00
5.30,6.20,5.00,5.70,0.70,4.00,3.40
9.20,7.10,6.50,9.10,9.00,8.00,9.40
5.40,6.90,5.30,2.20,7.10,7.30,6.80
9.20,5.50,5.10,6.00,6.60,7.80,7.70
7.50,7.20,7.20,5.20,5.00,7.70,1.90
6.50,5.90,6.70,7.00,5.90,9.20,0.30
6.70,6.30,2.60,1.80,3.50,5.00,-
6.10,6.50,7.20,8.60,6.50,7.70,9.90
5.00,5.00,7.30,5.10,4.30,7.00,5.90
5.90,5.10,4.20,3.10,0.40,2.30,-
6.70,7.20,7.00,5.70,1.30,7.90,8.10
6.80,6.90,7.40,5.60,2.00,7.90,7.20
5.20,7.60,5.10,6.30,6.40,8.00,7.10
5.00,6.80,6.00,5.50,6.80,8.10,8.40
5.90,7.00,7.50,10.00,9.50,9.10,9.40
5.70,5.10,2.40,0.00,0.50,3.40,0.00
9.50,7.90,6.80,9.20,9.60,8.80,8.10
5.90,5.50,1.00,4.40,5.10,3.50,0.50
7.00,6.40,2.80,4.40,5.00,5.30,0.70
5.00,5.80,0.30,0.00,0.20,0.40,-
8.90,7.70,7.40,8.00,10.00,8.40,9.70
4.80,5.80,7.20,5.40,0.10,5.50,0.70
6.10,6.40,5.80,5.00,4.60,5.40,6.70
5.00,6.60,1.50,1.70,0.60,0.20,0.30
4.00,5.70,3.50,0.00,0.80,6.00,0.30
6.00,6.00,5.00,5.20,5.00,6.60,0.00
7.70,6.30,6.30,0.30,1.90,5.00,10.00
5.90,7.80,5.50,6.20,6.80,9.50,6.70
6.10,5.60,3.10,5.10,5.20,5.80,3.10
5.00,5.80,6.60,5.10,1.00,7.10,-
5.40,5.60,5.90,5.00,0.40,5.10,0.40
3.00,4.90,1.70,0.00,3.70,5.00,0.00
8.10,5.90,6.20,5.00,5.00,5.00,6.10
3.30,5.60,5.10,0.00,4.30,5.90,2.20
6.40,7.10,6.40,0.00,3.40,5.00,1.70
6.30,5.40,5.40,3.30,0.80,0.50,0.70
9.10,6.40,5.30,1.50,1.40,2.50,1.20
5.50,6.40,1.30,0.50,3.60,6.10,0.10
6.20,6.80,5.50,0.30,3.20,7.20,7.00
6.90,6.80,5.30,5.20,5.60,6.70,7.30
8.70,6.60,5.20,3.40,0.60,4.00,6.50
5.00,5.30,5.00,0.00,2.70,5.30,1.90
7.30,6.00,6.20,6.50,6.40,8.30,-
6.50,7.80,6.40,4.30,6.20,8.50,6.40
5.00,5.50,5.00,0.00,1.20,5.20,5.80
1.90,5.30,0.00,0.00,6.50,5.00,0.00
6.20,7.40,5.00,0.70,6.30,7.30,5.30
5.90,7.60,5.10,7.40,6.10,7.10,8.10
7.10,5.90,2.50,5.80,6.50,5.80,0.30
5.90,5.30,0.60,2.30,4.80,5.30,3.00
9.20,6.60,5.90,7.00,8.60,7.50,6.80
6.40,7.00,5.40,0.00,6.40,8.60,9.20
6.70,7.20,5.00,4.70,6.50,6.70,5.00
6.30,6.70,5.10,5.60,6.40,7.50,5.10
7.20,5.20,0.70,0.00,0.00,2.20,-
5.10,5.80,4.40,2.70,1.00,1.80,0.40
6.70,6.90,5.50,0.30,5.20,6.50,6.40
6.90,5.50,1.40,1.20,1.10,5.30,-
4.60,6.90,6.80,5.00,5.20,6.80,9.40
5.30,6.50,3.10,0.30,1.60,5.80,1.20
5.60,6.80,5.00,5.00,6.70,6.80,6.30
7.40,6.60,1.90,3.30,5.20,5.00,3.90
7.20,7.10,5.20,5.00,6.20,6.10,7.00
7.30,5.00,2.80,0.90,0.00,5.70,0.70
8.80,6.90,5.00,5.50,7.50,9.00,5.60
7.50,6.40,5.00,3.50,5.00,4.10,7.70
4.20,4.20,2.50,0.60,3.10,5.00,1.30
7.50,7.60,5.90,5.00,4.30,5.40,3.60
6.40,6.40,5.10,5.00,4.50,4.50,5.70
8.00,5.80,6.10,5.20,5.00,6.30,1.20
7.90,7.00,5.40,5.30,4.40,7.10,5.00
4.30,5.10,6.70,2.50,8.40,8.40,9.20
9.50,7.70,7.10,9.20,9.70,9.30,7.40
6.40,7.40,5.40,0.00,5.40,7.20,-
7.40,7.20,7.40,6.10,5.90,6.50,8.80
9.10,5.90,6.90,5.00,6.30,6.00,8.00
7.60,6.30,5.00,1.40,0.70,3.60,-
5.50,6.60,4.00,1.30,1.20,1.80,2.00
5.00,5.30,3.30,0.70,1.50,1.40,1.60
5.80,5.80,5.00,5.80,2.00,5.90,5.30
5.90,7.40,6.10,7.80,6.00,8.40,6.20
5.90,5.80,1.20,0.50,1.40,0.20,0.00
3.80,6.10,2.40,4.50,4.20,5.20,3.70
5.00,4.20,0.70,-,0.30,-,0.00
5.50,6.50,5.80,5.40,0.90,5.90,6.40
5.90,6.40,5.30,5.80,0.50,5.10,7.20
4.50,6.10,5.00,5.20,0.40,2.50,-
5.80,5.60,6.50,2.30,2.10,5.80,-
7.70,7.00,-,1.50,2.70,0.40,6.20
8.30,7.10,7.50,5.80,5.10,1.50,5.70
5.40,5.00,6.40,0.00,0.90,0.10,-
6.30,7.40,8.20,6.00,5.60,7.60,6.00
